source_pdf,authors,year,title,journal,pmid,doi
Edinburgh Infectious Diseases publications 2013 2.pdf,Juul -Madsen,2013,"No protection in chickens immunized by the oral or 
intra -muscular immunization route with Asca ridia galli soluble antigen",Avian Pathol 42:276 -282,23718808,"DOI:
    
  

      10.1080/03079457.2013.783199"
Edinburgh Infectious Diseases publications 2013 2.pdf,Wright,2013,"Genetic influences on plasma CFH and CFHR1 
concentrations and their role in  susceptibility to age -related macular degeneration","Hum Mol Genet 
22:48574869",20843825,"DOI:
    
  

      10.1093/hmg/ddq399"
Edinburgh Infectious Diseases publications 2013 2.pdf,Mutapi,2013,"Sources of heterogeneity in 
human monocyte subsets",Immunol Lett 152:32 -41,23557598,"DOI:
    
  

      10.1016/j.imlet.2013.03.004"
Edinburgh Infectious Diseases publications 2013 2.pdf,Rowe,2013,"A Method for Positive and Negative Selection of 
Plasmodium falciparum Platelet -Mediated Clumping Parasites and Investigation of the Role of CD36","PLoS 
One 8:e55453",23711755,"DOI:
    
  

      10.3791/4316"
Edinburgh Infectious Diseases publications 2013 2.pdf,van der Donk,2013,"Ribosomally synthesized and 
post -translationally modified peptide natural products: overview and recommendations for a universal 
nomenclature",Nat Prod Rep 30:108 -160,23666908,"DOI:
    
  

      10.1002/chem.201300401"
Edinburgh Infectious Diseases publications 2013 2.pdf,Ferguson,2013,"Partial complementation of Sinorhizobium meliloti bacA mutant phenotypes by the 
Mycobacterium tuberculosis BacA protein",J Bacteriol 195:389 -398,28765224,"DOI:
    
  

      10.1128/mBio.01060-17"
Edinburgh Infectious Diseases publications 2013 2.pdf,Woolhouse,2013,"Vaccination and reduced cohort duration can drive virulence evolution: marek's disease virus and 
industrialized agriculture",Evolution 67:851 -860,15327791,"DOI:
    
  

      10.1016/j.vetmic.2004.06.007"
Edinburgh Infectious Diseases publications 2013 2.pdf,Woolhouse,2013,"The effectiveness of 
mass vaccination on Marek's disease virus (MDV) outbreaks and detection within a broiler barn: A modeling 
study",Epidemics 5:208 -217,18773529,"DOI:
    
  

      10.1016/j.vaccine.2008.04.009"
Edinburgh Infectious Diseases publications 2013 2.pdf,Bradley,2013,"Highly 
specific, multi -branched fluorescent reporters for analysis of human neutrophil elastase","Org Biomol Chem 
11:4414 -4418",33332505,"DOI:
    
  

      10.1039/d0cc07028a"
Edinburgh Infectious Diseases publications 2013 2.pdf,Digard,2013,Influenza --time to target the host? N Engl J Med 369:191 -193,22,23477864,"DOI:
    
  

      10.1016/j.cell.2013.02.027"
Edinburgh Infectious Diseases publications 2013 2.pdf,Kita,2013,"Biochemical characterization of highly active Trypanosoma brucei 
gambiense glycerol kinase, a promis ing drug target",J Biochem 154:77 -84,25315291,"DOI:
    
  

      10.1111/mmi.12831"
Edinburgh Infectious Diseases publications 2013 2.pdf,McNeilly,2013,"Identification of 
immune traits correlated with dairy cow health, reproduction and productivity",PLoS One 8:e65766,23776543,"DOI:
    
  

      10.1371/journal.pone.0065766"
Edinburgh Infectious Diseases publications 2013 2.pdf,Welburn,2013,"Conflict of interest: use of pyrethroids and amidines against 
tsetse and ticks in zoonotic sleeping sickness endemic areas of Uganda",Parasit Vectors 6:204,26198109,"DOI:
    
  

      10.1186/s13071-015-0998-8"
Edinburgh Infectious Diseases publications 2013 2.pdf,Zadoks,2013,"Herd level approach to high bulk milk 
somatic cell count problems in dairy cattle",Vet Q 33:82 -93,23706026,"DOI:
    
  

      10.1080/01652176.2013.799791"
Edinburgh Infectious Diseases publications 2013 2.pdf,Schukken,2013,"Effect of lactation therapy on Staphylococcus aureus 
transmission dynamics in two commercial dairy herds",BMC Vet Res 9:28,16379636,"DOI:
    
  

      10.2460/javma.2005.227.1969"
Edinburgh Infectious Diseases publications 2013 2.pdf,Simpson,2013,"An RCT of Peripheral Blood Mononuclear Cell Depletion in 
Experimental Human Lung Inflammation",Am J Respir Crit Care Med,23947514,"DOI:
    
  

      10.1164/rccm.201307-1208ED"
Edinburgh Infectious Diseases publications 2013 2.pdf,Simpso n,2013,"A randomized controlled trial of peripheral blood mononuclear cell 
depletion in experimental human lung inflammation",Am J Respir Crit Care Med 188:449455,23947514,"DOI:
    
  

      10.1164/rccm.201307-1208ED"
Edinburgh Infectious Diseases publications 2013 2.pdf,Quinones,2013,Glycosomal Targets for Anti -Trypanosomatid Drug Discovery,"Curr Med 
Chem",23834165,"DOI:
    
  

      10.2174/09298673113209990139"
Edinburgh Infectious Diseases publications 2013 2.pdf,Innes,2013,"Development of maternal and foetal immune responses in cattle following 
experimental challenge with Neospora ca ninum at day 210 of gestation",Vet Res 44:91,22536795,"DOI:
    
  

      10.1186/1297-9716-43-38"
Edinburgh Infectious Diseases publications 2013 2.pdf,Katzer,2013,Detection of Neospora caninum in wild carnivorans in Great Britain,Vet Parasitol 192:279 -283,23068142,"DOI:
    
  

      10.1017/S0031182012001588"
Edinburgh Infectious Diseases publications 2013 2.pdf,M,2013,"Response to a Letter to the Editor entitled ""Sarcocystis capracanis -associated encephalitis 
in sheep""",Vet Parasitol 197:409,23312871,"DOI:
    
  

      10.1016/j.vetpar.2012.12.016"
Edinburgh Infectious Diseases publications 2013 2.pdf,Campopiano,2013,"Reconstitution 
of the pyridoxal 5' -phosphate (PLP) dependent enzyme serine palmitoyltransferase (SPT) with pyridoxal 
reveals a crucial role for the phosphate during catalysis",Chem Commun (Camb) 49:7058 -7060,21514297,"DOI:
    
  

      10.1016/j.febslet.2011.04.013"
Edinburgh Infectious Diseases publications 2013 2.pdf,Sutherland,2013,"Synthesis and characterization of dual -functionalized core -shell fluorescent microspheres for 
bioconjugation and cellular delivery",PLoS O ne 8:e50713,18330682,"DOI:
    
  

      10.1007/s10895-008-0334-1"
Edinburgh Infectious Diseases publications 2013 2.pdf,Oparka,2013,"Correlative imaging of fluorescent proteins in 
resin -embedded plant material",Plant Physiol 161:1595 -1603,30484293,"DOI:
    
  

      10.1117/1.JBO.24.5.051406"
Edinburgh Infectious Diseases publications 2013 2.pdf,Oparka,2013,"Correlative imaging of fluorescent proteins in 
resin -embedded plant material",Plant Physiol,30484293,"DOI:
    
  

      10.1117/1.JBO.24.5.051406"
Edinburgh Infectious Diseases publications 2013 2.pdf,Read,2013,"Septins Are Important for Cell Polarity, Septation and Asexual Spore 
Formation in Neurospora crassa and Show Different Patterns of Localisation at Germ Tube Tips","PLoS One 
8:e63843",22247265,"DOI:
    
  

      10.1128/EC.05164-11"
Edinburgh Infectious Diseases publications 2013 2.pdf,Lengeling,2013,Influence of internalin A murinisation on host resistance to orally acquired listeriosis in mice,"BMC 
Microbiol 13:90",21144051,"DOI:
    
  

      10.1186/1471-2180-10-318"
Edinburgh Infectious Diseases publications 2013 2.pdf,Lengeling,2013,"The bioluminescent Listeria monocytogenes 
strain Xen32 is defective in flagella expression and highly attenuated in orally infected BALB/cJ mice","Gut 
Pathog 5:19",23617550,"DOI:
    
  

      10.1186/1471-2180-13-90"
Edinburgh Infectious Diseases publications 2013 2.pdf,"Ferrario, et al",2013,"Genome -wide meta -
analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture","Nat 
Genet 45:501 -512",28963451,"DOI:
    
  

      10.1038/s41467-017-00556-x"
Edinburgh Infectious Diseases publications 2013 2.pdf,Quetin -Leclercq,2013,"Antitrypanosomal 
compounds from the essential oil and extracts of Keetia leucantha leaves with inhibitor activity on 
Trypanosoma brucei glyceraldehyde -3-phosphate  dehydrogenase",Phytomedicine 20:270 -274,21782916,"DOI:
    
  

      10.1016/j.jep.2011.07.022"
Edinburgh Infectious Diseases publications 2013 2.pdf,Halliwell,2013,"Serum anti -Staphylococcus 
pseudintermedius IgE and IgG antibodies in dogs with atopic dermatitis and nonatopic dogs","Vet Dermatol 
24:19 -e16",21265887,"DOI:
    
  

      10.1111/j.1365-3164.2010.00939.x"
Edinburgh Infectious Diseases publications 2013 2.pdf,Pybus,2013,"The evolutionary dynamics of influenza A virus adaptation to mammalian 
hosts",Philos Trans R Soc Lond B B iol Sci 368:20120382,23382435,"DOI:
    
  

      10.1098/rstb.2012.0382"
Edinburgh Infectious Diseases publications 2013 2.pdf,Black,2013,"Interventions to 
address deaths from childhood pneumonia and diarrhoea equitably: what works and at what cost? Lancet 
381:1417 -1429",47,23582721,"DOI:
    
  

      10.1016/S0140-6736(13)60319-0"
Edinburgh Infectious Diseases publications 2013 2.pdf,Rudan,2013,"Setting priorities for development 
of emerging interventions against c hildhood diarrhoea",J Glob Health 3:10302,23826510,"DOI:
    
  

      10.7189/jogh.03.010406"
Edinburgh Infectious Diseases publications 2013 2.pdf,Manson,2013,"Prion infectivity in the 
spleen of a PRNP heterozygous individual with subclinical variant Creutzfeldt -Jakob disease","Brain 136:1139 -
1145",23449776,"DOI:
    
  

      10.1093/brain/awt032"
Edinburgh Infectious Diseases publications 2013 2.pdf,Kunisaki,2013,"Biomarkers and bacterial pneumonia risk in patients with treated HIV infection: a case -control 
study",PLoS One 8:e56249,23457535,"DOI:
    
  

      10.1371/journal.pone.0056249"
Edinburgh Infectious Diseases publications 2013 2.pdf,Allen,2013,"Genes Required for Growth at High Hydrostatic 
Pressure in Escherichia coli K -12 Identified by Genome -Wide Screening",PLoS One 8:e73995,15184582,"DOI:
    
  

      10.1099/mic.0.26962-0"
Edinburgh Infectious Diseases publications 2013 2.pdf,Zamoyska,2013,"Differential polarization of C -terminal Src kinase between naive 
and antigen -experienced CD8+ T cells",J Immunol 190:3089 -3099,17878361,"DOI:
    
  

      10.4049/jimmunol.179.7.4635"
Edinburgh Infectious Diseases publications 2013 2.pdf,Gakamsky,2013,"Proximity of TCR and its CD8 coreceptor controls 
sensitivity of T cells",Immunol Lett 157:16 -22,17540778,"DOI:
    
  

      10.1074/jbc.M700976200"
Edinburgh Infectious Diseases publications 2013 2.pdf,Moura,2013,"Association of IGF1 and KDM5A polymorphisms with performance, fatness and carcass traits 
in chickens",J Appl Genet 54:103 -112,29783939,"DOI:
    
  

      10.1186/s12864-018-4779-6"
Edinburgh Infectious Diseases publications 2013 2.pdf,Fernando,2013,"Security concerns to be considered when downloading 
human immunodeficiency virus/sexually transmitted disease related smartphone applications","J Med Internet 
Res 15:e222",8836017,"DOI:
    
  

      10.1097/00007435-199607000-00003"
Edinburgh Infectious Diseases publications 2013 2.pdf,Woolhouse,2013,"Design and descriptive 
epidemiology of the Infectious Disea ses of East African Livestock (IDEAL) project, a longitudinal calf cohort 
study in western Kenya",BMC Vet Res 9:171,32615453,"DOI:
    
  

      10.1016/j.prevetmed.2020.105062"
Edinburgh Infectious Diseases publications 2013 2.pdf,Horne,2013,"Shotgun proteomics identifies serum fibronectin as a candidate diagnostic biomarker for inclusion in future 
multiplex tests for ectopic pregnan cy",PLoS One 8:e66974,22927907,"DOI:
    
  

      10.1371/journal.pone.0041442"
Edinburgh Infectious Diseases publications 2013 2.pdf,Hill,2013,Macrolides and pneumonia,Thorax 68:404 -405,32296816,"DOI:
    
  

      10.1093/cid/ciaa441"
Edinburgh Infectious Diseases publications 2013 2.pdf,Mabbott,2013,"Evidence of sub -clinical prion disease in aged mice following exposure 
to bovine spongiform encephalopathy",J Gen Virol,27440899,"DOI:
    
  

      10.1128/JVI.01106-16"
Edinburgh Infectious Diseases publications 2013 2.pdf,Zamoyska,2013,"T cell receptor signalling networks: branched, diversified and 
bounded",Nat Rev Immunol 13:257 -269,29789755,"DOI:
    
  

      10.1038/s41577-018-0020-8"
Edinburgh Infectious Diseases publications 2013 2.pdf,Blaxter,2013,"Functional diversification of Argonautes in nematodes: an expanding 
universe",Biochem Soc Trans 41:881 -886,17110334,"DOI:
    
  

      10.1016/j.cell.2006.09.033"
Edinburgh Infectious Diseases publications 2013 2.pdf,Simmonds,2013,"Recombination and evolutionary dynamics of human 
echovirus 6",J Med Virol,20615482,"DOI:
    
  

      10.1016/j.meegid.2010.06.019"
Edinburgh Infectious Diseases publications 2013 2.pdf,Yates,2013,"Plasticity in transmission strategies of 
the malaria parasite, Plasmodium chabaudi: environmental and genetic effects",Evol Appl 6:365 -376,23467678,"DOI:
    
  

      10.1111/eva.12005"
Edinburgh Infectious Diseases publications 2013 2.pdf,Qazi,2013,"Measuring Coverage in 
MNCH: Challenges in Monitoring the Proportion of Young Children with Pneumonia Who Receive Antibiotic 
Treatment",PLoS Med 10:e1001421,23667339,"DOI:
    
  

      10.1371/journal.pmed.1001422"
Edinburgh Infectious Diseases publications 2013 2.pdf,Goldmann,2013,"The PrP C1 fragment derived from the ovine ARRPRNP allele is highly abundant in sheep brain and 
inhibits fibrillisation of full -length PrP p rotein in vitro",Biochim Biophys Acta,39584804,"DOI:
    
  

      10.7554/eLife.92775"
Edinburgh Infectious Diseases publications 2013 2.pdf,Goldmann,2013,"The PrP(C) C1 fragment derived from the ovine A136R154R171PRNP allele is highly abundant in sheep 
brain and inhibits fibrillisation of full -length PrP(C) protein in vitro",Biochim Biophys Acta 1832:826 -836,39584804,"DOI:
    
  

      10.7554/eLife.92775"
Edinburgh Infectious Diseases publications 2013 2.pdf,Manson,2013,Post -translational changes to PrP alter transmissible spongiform encephalopathy strain properties,Embo J 32:756 -769,23787696,"DOI:
    
  

      10.4161/pri.25420"
Edinburgh Infectious Diseases publications 2013 2.pdf,Chianini,2013,"Phenotypic characterisation of the cellular immune infiltrate in 
placentas of cattle followi ng experimental inoculation with Neospora caninum in late gestation","Vet Res 
44:60",24484200,"DOI:
    
  

      10.1186/1297-9716-45-11"
Edinburgh Infectious Diseases publications 2013 2.pdf,Matthews,2013,Regulation of Total and Polysomal mRNA during Development within Its Mammalian Host,PLoS One 8:e67069,23840587,"DOI:
    
  

      10.1371/journal.pone.0067069"
Edinburgh Infectious Diseases publications 2013 2.pdf,Palmarini,2013,"Host species barriers to Jaagsiekte sheep 
retrovirus replication and carcinogenesis",J Virol 87:10752 -10762,31434729,"DOI:
    
  

      10.1128/JVI.00876-19"
Edinburgh Infectious Diseases publications 2013 2.pdf,Sturm,2013,"Salmon lice (Lepeophtheirus salmonis) showing varying emamectin benzoate 
susceptibilities differ in neuronal a cetylcholine receptor and GABA -gated chloride channel mRNA expression",BMC Genomics 14:408,29673959,"DOI:
    
  

      10.1016/j.margen.2018.03.005"
Edinburgh Infectious Diseases publications 2013 2.pdf,Sanz,2013,Improving data and knowledge management to better integrate health care and research,"J Intern Med 
274:321 -328",23808970,"DOI:
    
  

      10.1111/joim.12105"
Edinburgh Infectious Diseases publications 2013 2.pdf,Ferguson,2013,"Middle East respiratory syndrome coronavirus: quantification of the extent of the 
epidemic, surveillance biases, and tr ansmissibility",Lancet Infect Dis,24239325,"DOI:
    
  

      10.1016/S1473-3099(13)70283-4"
Edinburgh Infectious Diseases publications 2013 2.pdf,Hill,2013,"Vitamin -D deficiency is associated 
with chronic bacterial colonisation and disease severity in bronchiectasis",Thorax 68:39 -47,23386697,"DOI:
    
  

      10.1136/thoraxjnl-2012-203189"
Edinburgh Infectious Diseases publications 2013 2.pdf,Graham,2013,"Assessing the detection of human 
papillomavirus late mRNA in liquid base cytology samples for risk stratification of cervical disease","J Med 
Virol",30056761,"DOI:
    
  

      10.1177/0963689718788521"
Edinburgh Infectious Diseases publications 2013 2.pdf,Rudan,2013,"Epidemiology of Alzheimer's disease and other forms of dementia in China, 1990 -2010: a 
systematic review and analysis",L ancet 381:2016 -2023,23746886,"DOI:
    
  

      10.1016/S0140-6736(13)60770-9"
Edinburgh Infectious Diseases publications 2013 2.pdf,Charleston,2013,"Understanding foot -and-mouth 
disease virus transmission biology: identi fication of the indicators of infectiousness",Vet Res 44:46,29205858,"DOI:
    
  

      10.1111/tbed.12774"
Edinburgh Infectious Diseases publications 2013 2.pdf,Stevens,2013,"Comprehensive assignment of roles for salmonella 
typhimurium genes in intestinal colonization of food -producing animals",PLoS Genet 9:e1003456,30621582,"DOI:
    
  

      10.1186/s12864-018-5319-0"
Edinburgh Infectious Diseases publications 2013 2.pdf,Arvin,2013,"ORF11 protein 
interacts with the ORF9 essential tegument protein in varicella -zoster virus infection",J Virol 87:5106 -5117,18400847,"DOI:
    
  

      10.1128/JVI.00303-08"
Edinburgh Infectious Diseases publications 2013 2.pdf,"Oostra, et al",2013,"Nine Loci for Ocular Axial Length Identified 
through Genome -wide Association Studies, Including Shared Loci with Refractive Error","Am J Hum Genet 
93:264 -277",32761137,"DOI:
    
  

      10.1167/iovs.61.10.11"
Edinburgh Infectious Diseases publications 2013 2.pdf,Donaldson,2013,Predictive value of in vitro assays depends on the mechanism of toxicity of metal oxide nanoparticles,"Part 
Fibre Toxicol 10:55",27560255,"DOI:
    
  

      10.1080/17435390.2016.1229518"
Edinburgh Infectious Diseases publications 2013 2.pdf,Bhutta,2013,"Ending of 
preventable deaths from pneumonia and diarrhoea: an achievable goal",Lancet 381:1499 -1506,23582721,"DOI:
    
  

      10.1016/S0140-6736(13)60319-0"
Edinburgh Infectious Diseases publications 2013 2.pdf,Petrik,2013,"Hepatitis E virus in 
Scottish blood donors",Vox Sang 105:283 -289,23763589,"DOI:
    
  

      10.1111/vox.12056"
Edinburgh Infectious Diseases publications 2013 2.pdf,Bridgett,2013,Fold or hold: experimental evolution in vitro,"J Evol Biol 
26:2123 -2134",24003997,"DOI:
    
  

      10.1111/jeb.12233"
Edinburgh Infectious Diseases publications 2013 2.pdf,Stevenson,2013,"Systematic review of 
tattoo -associated skin infection with rapidly growing mycobacteria and public health investigation of a cluster 
in Scotland, 2010",Euro Surveill 18,22831709,"DOI:
    
  

      10.1111/j.1365-2230.2012.04421.x"
Edinburgh Infectious Diseases publications 2013 2.pdf,Simpson,2013,"Combined dysfunctions of immune cells predict nosocomial infection in 
critically ill patients",Br J Anae sth 111:778 -787,23756248,"DOI:
    
  

      10.1093/bja/aet205"
Edinburgh Infectious Diseases publications 2013 2.pdf,Bachmann,2013,"Development of a 
PCR-free electrochemical point of care test for clinical detection of methicillin resistant Staphylococcus aureus 
(MRSA)",Analyst 138:6997 -7005,22365363,"DOI:
    
  

      10.1016/j.bios.2012.01.040"
Edinburgh Infectious Diseases publications 2013 2.pdf,Klenerman,2013,"Early and nonreversible decrease of 
CD161++ /MAIT cells in HIV infection",Blood 121:951 -961,25369333,"DOI:
    
  

      10.1371/journal.pone.0111323"
Edinburgh Infectious Diseases publications 2013 2.pdf,Nastouli,2013,"Full -genome deep sequencing and phylogenetic analysis of novel human 
betacoronavirus",Emerg Infect Dis 1 9:736 -742B,23693015,"DOI:
    
  

      10.3201/eid1905.130057"
Edinburgh Infectious Diseases publications 2013 2.pdf,Barrett,2013,"Metabolomics guides 
rational development of a simplified cell culture medium for drug screening against Trypanosoma brucei",Antimicrob Agents Chemother 57:2768 -2779,25946070,"DOI:
    
  

      10.1371/journal.ppat.1004875"
Edinburgh Infectious Diseases publications 2013 2.pdf,Groenen,2013,Large scale variation in DNA copy number in chicken breeds,BMC Genomics 14:398,23763846,"DOI:
    
  

      10.1186/1471-2164-14-398"
Edinburgh Infectious Diseases publications 2013 2.pdf,A,2013,Diseases associated with human papillomavirus infection,Virology 445:21 -34,23932731,"DOI:
    
  

      10.1016/j.virol.2013.06.007"
Edinburgh Infectious Diseases publications 2013 2.pdf,Cuschieri,2013,Understanding HPV tests and their appropriate applications,Cytopathology,23998275,"DOI:
    
  

      10.1111/cyt.12083"
Edinburgh Infectious Diseases publications 2013 2.pdf,Davidson,2013,"The Human Cathelicidin LL -37 Has Antiviral Activity against Respiratory Syncytial 
Virus",PLoS One 8:e73659,24023689,"DOI:
    
  

      10.1371/journal.pone.0073659"
Edinburgh Infectious Diseases publications 2013 2.pdf,Hodgkinson,2013,"Transcriptome analysis of a parasitic clade V nematode: comparative analysis of potential molecular 
anthelmintic targets in Cylicostephanus goldi",Int J Parasitol 43:917 -927,16872692,"DOI:
    
  

      10.1016/j.molbiopara.2006.06.007"
Edinburgh Infectious Diseases publications 2013 2.pdf,Newby,2013,GPIb VNTR C/C genotype may predict embolic events in infective endocarditis,"J Heart Valve Dis 
22:133 -141",15269835,"DOI:
    
  

      10.1160/TH03-12-0744"
Edinburgh Infectious Diseases publications 2013 2.pdf,Simpson,2013,"A 
selected screening programme was less effective in the detection of methicillin -resistant Staphylococcus 
aureus colonisation in an orthopaedic uni t",Int Orthop,19675746,"DOI:
    
  

      10.3205/000065"
Edinburgh Infectious Diseases publications 2013 2.pdf,Kellie,2013,"Regulated Expression 
of PTPRJ/CD148 and an Antisense Long Noncoding RNA in Macrophages by Proinflammatory Stimuli","PLoS 
One 8:e68306",22815804,"DOI:
    
  

      10.1371/journal.pone.0040742"
Edinburgh Infectious Diseases publications 2013 2.pdf,Taylor,2013,Tissue -resident macrophages,"Nat Immunol 
14:986 -995",37344646,"DOI:
    
  

      10.1038/s41586-023-06002-x"
Edinburgh Infectious Diseases publications 2013 2.pdf,Tuggle,2013,"Structural and functional annotation of the 
porcine immunome",BMC Genomics 14 :332,28646867,"DOI:
    
  

      10.1186/s12864-017-3863-7"
Edinburgh Infectious Diseases publications 2013 2.pdf,Jones,2013,"A flagellated motile Salmonella Gallinarum mutant (SG Fla+) elicits a pro -inflammatory response 
from avian epithelial cells a nd macrophages and is less virulent to chickens",Vet Microbiol 165:425 -433,27387725,"DOI:
    
  

      10.1016/j.tvjl.2016.05.006"
Edinburgh Infectious Diseases publications 2013 2.pdf,Zadoks,2013,Human Streptococcus agalactiae strains in aquatic mammals and fish,BMC Microbiol 13:41,23419028,"DOI:
    
  

      10.1186/1471-2180-13-41"
Edinburgh Infectious Diseases publications 2013 2.pdf,Biswas,2013,"Endocrine mucin -producing sweat 
gland carcinoma: report of two cases of an under -recognized malignant neoplasm and review of the 
literature",Am J Dermatopathol 35:117 -124,18022131,"DOI:
    
  

      10.1016/j.anndiagpath.2006.06.001"
Edinburgh Infectious Diseases publications 2013 2.pdf,Guertler,2013,"Pathogen 
safety of long -term treatments for bleeding disorders: (un)predictable risks and evolving threats","Semin 
Thromb Hemost 39:973",20331945,"DOI:
    
  

      10.1016/j.amepre.2009.12.019"
Edinburgh Infectious Diseases publications 2013 2.pdf,Gurtler,2013,"Pathogen safety 
of long -term treatments for bleeding disorders: still relevant to current practice","Haematologica 98:1495 -
1498",28624906,"DOI:
    
  

      10.1007/s00277-017-3028-4"
Edinburgh Infectious Diseases publications 2013 2.pdf,Amyes,2013,"Molecular characterisation and diversity in Enterobacter cloacae from 
Edinburgh and Egypt carrying bla and bla beta -lactamase genes",Int J Antimicrob Agents,28830556,"DOI:
    
  

      10.1186/s12941-017-0232-y"
Edinburgh Infectious Diseases publications 2013 2.pdf,Amyes,2013,"Molecular characterisation and diversity in Enterobacter cloacae from 
Edinburgh and Egypt carrying bla(CTX -M-14) and bla(VIM -4) beta -lactamase genes","Int J Antimicrob Agents 
41:574 -577",28830556,"DOI:
    
  

      10.1186/s12941-017-0232-y"
Edinburgh Infectious Diseases publications 2013 2.pdf,"Khaw, et al",2013,"Common 
variants associated with pla sma triglycerides and risk for coronary artery disease",Nat Genet,25302496,"DOI:
    
  

      10.1371/journal.pone.0108891"
Edinburgh Infectious Diseases publications 2013 2.pdf,Freeman,2013,"Coexpression 
analysis of large cancer datasets provides insight into the cellular phenotypes of the tumour 
microenvironment",BMC Genomics 14:469,14633289,"DOI:
    
  

      10.1186/1471-2105-4-59"
Edinburgh Infectious Diseases publications 2013 2.pdf,Rossi,2013,"Technical advance: autofluorescence -based sorting: rapid and nonperturbing isolation of 
ultrapure neutrophils to determin e cytokine production",J Leukoc Biol 94:193 -202,3967087,
Edinburgh Infectious Diseases publications 2013 2.pdf,Wendtner,2013,"Clinical features and virological 
analysis of a case of Middle East respirato ry syndrome coronavirus infection",Lancet Infect Dis 13:745 -751,23782860,"DOI:
    
  

      10.1016/S1473-3099(13)70153-1"
Edinburgh Infectious Diseases publications 2013 2.pdf,Morrice,2013,"Decreased expression of the satiety signal receptor CCKAR is 
responsible for increased growth  and body weight during the domestication of chickens","Am J Physiol 
Endocrinol Metab",34601445,"DOI:
    
  

      10.1016/j.psj.2021.101448"
Edinburgh Infectious Diseases publications 2013 2.pdf,Hocking,2013,"Decreased expression of the satiety signal receptor 
CCKAR is responsible for incr eased growth and body weight during the domestication of chickens","Am J 
Physiol Endocrinol Metab 304:E909 -921",34601445,"DOI:
    
  

      10.1016/j.psj.2021.101448"
Edinburgh Infectious Diseases publications 2013 2.pdf,Meredith,2013,"Use of arterial blood 
gas analysis as a superior method for evaluating respiratory function in pet rabbits (Oryctolagus cuniculus)",Vet Rec 173:166,23659374,"DOI:
    
  

      10.1111/jsap.12081"
Edinburgh Infectious Diseases publications 2013 2.pdf,Digard,2013,The genetics of virus particle shape in equine influenza A virus,"Influenza Other 
Respir Viruses 7 Suppl 4:81 -89",32152243,"DOI:
    
  

      10.1101/cshperspect.a038331"
Edinburgh Infectious Diseases publications 2013 2.pdf,Emerman,2013,"Gene Loss and Adaptation to 
Hominids Underlie the Ancient Origin of HIV -1",Cell Host Microbe 14:85 -92,31830442,"DOI:
    
  

      10.1016/j.chom.2019.10.014"
Edinburgh Infectious Diseases publications 2013 2.pdf,Amyes,2013,The rise of carbapenem -resistant Acinetobacter baumannii,Curr Pharm Des 19:223 -238,22894617,
Edinburgh Infectious Diseases publications 2013 2.pdf,Kocken,2013,"Diversity Covering AMA1MSP119 
fusion proteins as malaria vaccines",Infect Immun 81:1479 -1490,18378635,"DOI:
    
  

      10.1128/IAI.00170-08"
Edinburgh Infectious Diseases publications 2013 2.pdf,Graham,2013,"Quantifying variation in the potential for 
antibody -mediated apparent competition among nine genotypes of the rodent malaria parasite Plasmodium 
chabaudi",Infect Genet Evol 20:270 -275,12706668,"DOI:
    
  

      10.1016/s0264-410x(03)00026-4"
Edinburgh Infectious Diseases publications 2013 2.pdf,Lemey,2013,"Simultaneously reconstructing 
viral cross -species transmission history and identifying the underlying constraints","Philos Trans R Soc Lond B 
Biol Sci 368:20120196",20689015,"DOI:
    
  

      10.1126/science.1188836"
Edinburgh Infectious Diseases publications 2013 2.pdf,Blackburn,2013,"Dynamics of thymus organogenesis and 
colonization in early human developmen t",Development 140:2015 -2026,25053428,"DOI:
    
  

      10.1242/dev.111641"
Edinburgh Infectious Diseases publications 2013 2.pdf,Snyder,2013,"Competition for antigen at the level of 
the APC is a major determinant of immunodominance during memory inflation in murine cytomegalovirus 
infection",J Immunol 190:3410 -3416,23460738,"DOI:
    
  

      10.4049/jimmunol.1203173"
Edinburgh Infectious Diseases publications 2013 2.pdf,Templeton,2013,"CLINICAL OUTCOMES AND MACROLIDE RESISTANCE IN 
MYCOPLASMA PNEUMONIAE INFECTION IN SCOTLAND",J Med Microbiol,26536357,"DOI:
    
  

      10.2807/1560-7917.ES.2015.20.37.30018"
Edinburgh Infectious Diseases publications 2013 2.pdf,Templeton,2013,"Clinical outcomes and macrolide resistance in Mycoplasma pneumoniae infection in 
Scotland, UK",J Med Microbiol 62:1876 -1882,26536357,"DOI:
    
  

      10.2807/1560-7917.ES.2015.20.37.30018"
Edinburgh Infectious Diseases publications 2013 2.pdf,Slate,2013,"Introgression and the 
fate of domesticated genes in a wild mammal population",Mol Ecol 22:4210 -4221,22676073,"DOI:
    
  

      10.1111/j.1365-294X.2012.05560.x"
Edinburgh Infectious Diseases publications 2013 2.pdf,Babiker,2013,Short -course antiretroviral therapy in primary HIV infection,N Engl J Med 368:207 -217,23697519,"DOI:
    
  

      10.1056/NEJMc1303486"
Edinburgh Infectious Diseases publications 2013 2.pdf,Oparka,2013,"A developmental framework for 
complex plasmodesmata formation revealed by large -scale imaging of the Arabidopsis leaf epidermis","Plant 
Cell 25:57 -70",11732318,"DOI:
    
  

      10.1007/BF01288358"
